Home Assistant notifications (Log started: 2025-12-24T10:35:32.530654+00:00)
--------------------------------------------------------------------------------
2025-12-24T13:11:29.515804+00:00 ; ESPZB3light ; ON
2025-12-24T13:11:30.515662+00:00 ; Hue9L7 ; OFF
2025-12-24T13:11:48.515890+00:00 ; ESPZB2light ; OFF
2025-12-24T13:12:10.508164+00:00 ; ESPZB3light ; OFF
2025-12-24T13:12:59.513074+00:00 ; ESPZB1light ; OFF
2025-12-24T13:13:32.515844+00:00 ; ESPZB3light ; ON
2025-12-24T13:14:34.515457+00:00 ; ESPZB1light ; ON
2025-12-24T13:15:08.522950+00:00 ; Hue9GF ; ON
2025-12-24T13:15:23.518542+00:00 ; ESPZB1light ; OFF
2025-12-24T13:16:06.515315+00:00 ; Hue9L7 ; ON
2025-12-24T13:16:44.516199+00:00 ; ESPZB3light ; OFF
2025-12-24T13:17:48.524180+00:00 ; Hue9GF ; OFF
2025-12-24T13:18:12.515379+00:00 ; HueWhite1549 ; ON
2025-12-24T13:18:32.509479+00:00 ; Hue9L7 ; OFF
2025-12-24T13:18:34.515977+00:00 ; Hue9L7 ; ON
2025-12-24T13:18:55.509471+00:00 ; HueWhite1549 ; OFF
2025-12-24T13:19:41.516127+00:00 ; ESPZB1light ; ON
2025-12-24T13:20:13.516830+00:00 ; Hue9GF ; ON
2025-12-24T13:20:17.513251+00:00 ; ESPZB2light ; ON
2025-12-24T13:21:15.533233+00:00 ; ESPZB1light ; OFF
2025-12-24T13:21:35.515533+00:00 ; Hue9L7 ; OFF
2025-12-24T13:21:36.516553+00:00 ; Hue9GF ; OFF
2025-12-24T13:21:50.516499+00:00 ; ESPZB2light ; OFF
2025-12-24T13:23:25.523173+00:00 ; ESPZB3light ; ON
2025-12-24T13:23:37.516562+00:00 ; ESPZB2light ; ON
2025-12-24T13:24:28.516228+00:00 ; ESPZB1light ; ON
2025-12-24T13:24:33.516837+00:00 ; HueWhite1549 ; ON
2025-12-24T13:24:53.523791+00:00 ; Hue9L7 ; ON
2025-12-24T13:25:09.515732+00:00 ; Hue9L7 ; OFF
2025-12-24T13:25:41.516509+00:00 ; ESPZB1light ; OFF
2025-12-24T13:26:01.515387+00:00 ; ESPZB3light ; OFF
2025-12-24T13:26:54.523232+00:00 ; Hue9GF ; ON
2025-12-24T13:27:54.518942+00:00 ; ESPZB3light ; ON
2025-12-24T13:28:18.515565+00:00 ; ESPZB2light ; OFF
2025-12-24T13:28:36.516850+00:00 ; Hue9GF ; OFF
2025-12-24T13:29:00.515398+00:00 ; HueWhite0475 ; ON
2025-12-24T13:29:01.513845+00:00 ; ESPZB2light ; ON
2025-12-24T13:29:34.510437+00:00 ; Hue9GF ; ON
2025-12-24T13:30:04.516839+00:00 ; ESPZB3light ; OFF
2025-12-24T13:30:26.524160+00:00 ; HueWhite1549 ; OFF
2025-12-24T13:31:05.514530+00:00 ; HueWhite0475 ; OFF
